mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,4.964542388916015,5.576777458190918,5.062341690063477
mig,0.6,4.9591064453125,7.148504257202148,10.191631317138672
mps-uncap,0.7,5.477046966552734,5.42902946472168,5.180716514587402
mig,0.7,4.9004554748535165,6.999826431274414,10.113239288330078
mps-uncap,0.8,5.355119705200195,5.899190902709961,5.299568176269531
mig,0.8,4.665803909301759,6.92739486694336,10.08753776550293
mps-uncap,0.9,5.84101676940918,5.692005157470703,5.420184135437012
mig,0.9,4.557371139526367,6.723737716674805,10.060548782348633
mps-uncap,1.0,5.716562271118164,6.269693374633791,5.642843246459962
mig,1.0,4.544234275817871,6.700706481933595,10.071110725402832
mps-uncap,1.1,5.8612823486328125,6.450414657592773,5.765199661254883
mig,1.1,4.600763320922852,6.784200668334961,10.100197792053223
mps-uncap,1.2,6.043362617492676,6.626605987548828,5.856037139892578
mig,1.2,4.60495948791504,6.784200668334961,10.108661651611328
mps-uncap,1.3,6.710243225097657,6.188392639160156,5.895471572875977
mig,1.3,4.553556442260742,6.720781326293945,10.104894638061523
