mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,2226.232667700945,1497.3869809409664,236.90703976810005
mig,0.6,2229.5894304470903,1487.611226189757,243.72936432164087
mps-uncap,0.7,2577.8087355411612,1732.1039822528114,277.4918752495639
mig,0.7,2599.5875368841125,1746.1439152559371,277.55226408508486
mps-uncap,0.8,3041.355264413525,1979.7058251002059,316.53425969356016
mig,0.8,2989.8721631728017,1969.8149936201078,314.22761800341345
mps-uncap,0.9,3350.056427154658,2230.636062520025,360.7693194710322
mig,0.9,3226.296933880714,2241.620576940644,363.5723774603804
mps-uncap,1.0,3729.5776004813333,2500.205859040097,397.4118296056117
mig,1.0,3678.4026174991413,2513.1792329710065,395.0685423179586
mps-uncap,1.1,3823.969133044748,2757.1093929901594,434.5202755937403
mig,1.1,3783.331346555245,2526.13869820196,404.1860299158498
mps-uncap,1.2,3562.545677435143,2896.619621629586,477.94645295127776
mig,1.2,3777.3884062719712,2523.6198154138006,403.81547678431906
mps-uncap,1.3,3206.9488735527475,3184.9465382803505,513.8005050519517
mig,1.3,3798.6701039236737,2536.935163737203,403.7932938130286
