mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,7.156338691711427,8.097507953643797,6.5382766723632715
mig,0.6,6.9724321365356445,9.393930435180666,11.21021270751953
mps-uncap,0.7,7.787344455719002,7.65274047851562,6.478714942932128
mig,0.7,6.955204010009765,9.180240631103512,11.18983507156372
mps-uncap,0.8,7.11870193481446,8.039598464965822,6.482124328613281
mig,0.8,6.756739616394064,9.095649719238278,11.163156032562249
mps-uncap,0.9,7.400627136230469,7.070255279541015,6.394104957580564
mig,0.9,6.462728977203372,8.753342628479006,10.956792831420902
mps-uncap,1.0,6.732201576232908,7.664136886596679,6.474943161010743
mig,1.0,5.594933032989507,8.173780441284178,10.591807365417479
mps-uncap,1.1,6.82332992553711,7.737922668457024,6.487379074096678
mig,1.1,5.536737442016601,8.075761795043952,10.573275089263916
mps-uncap,1.2,7.03810214996338,7.828571796417234,6.600666046142576
mig,1.2,5.505805015563954,8.012485504150396,10.584721565246582
mps-uncap,1.3,7.886309623718262,7.096800804138184,6.590628623962403
mig,1.3,6.066055297851562,8.50687026977539,10.83376884460449
