mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,37.6887321472168,36.763668060302734,17.67420768737793
mig,0.6,40.273427963256836,64.06712532043457,95.39031982421875
mps-uncap,0.7,33.3254337310791,27.70709991455078,19.962787628173828
mig,0.7,52.625417709350586,69.06747817993164,141.62158966064453
mps-uncap,0.8,62.45708465576172,36.418914794921875,22.527217864990234
mig,0.8,55.433034896850586,113.96288871765137,175.0936508178711
mps-uncap,0.9,85.7381820678711,42.94919967651367,30.360698699951172
mig,0.9,80.7790756225586,199.91755485534668,324.204683303833
mps-uncap,1.0,149.05381202697754,76.02906227111816,37.08314895629883
mig,1.0,304.3797016143799,487.0455265045166,498.6097812652588
mps-uncap,1.1,5206.902265548706,165.87328910827637,38.809776306152344
mig,1.1,6712.172031402588,8075.126886367798,9164.163589477539
mps-uncap,1.2,18491.193294525146,173.628568649292,78.70841026306152
mig,1.2,14521.80552482605,15283.874988555908,14443.042039871216
mps-uncap,1.3,30198.920965194702,274.2283344268799,57.71803855895996
mig,1.3,18410.40277481079,19633.328437805176,19379.852771759033
