mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_vgg13-4
mps-uncap,0.6,3.320455551147461,3.688812255859375,3.7033557891845703
mig,0.6,3.950834274291992,6.00743293762207,9.702444076538086
mps-uncap,0.7,3.1844377517700195,3.388643264770508,3.8548707962036133
mig,0.7,3.9832592010498047,6.030797958374023,9.711503982543945
mps-uncap,0.8,3.2720565795898438,3.427267074584961,4.012107849121094
mig,0.8,3.989696502685547,6.063699722290039,9.740591049194336
mps-uncap,0.9,3.3693313598632812,3.540515899658203,4.25112247467041
mig,0.9,4.026889801025391,6.095647811889648,9.768486022949219
mps-uncap,1.0,3.547787666320801,3.773927688598633,4.65083122253418
mig,1.0,4.062652587890625,6.1588287353515625,9.809732437133789
mps-uncap,1.1,3.7899017333984375,4.004478454589844,4.888653755187988
mig,1.1,4.096746444702148,6.217002868652344,9.843707084655762
mps-uncap,1.2,4.2552947998046875,4.851698875427246,5.058050155639648
mig,1.2,4.111766815185547,6.221294403076172,9.85264778137207
mps-uncap,1.3,5.307555198669434,5.204916000366211,5.158424377441406
mig,1.3,4.069328308105469,6.144285202026367,9.835243225097656
