mode,load,0_densenet121-8,1_mobilenet_v3_small-16,2_squeezenet1_0-16
mps-uncap,0.8,385.1933021538691,2554.753444778724,3090.7098190352776
mps-uncap,0.9,435.63187834667684,2783.8424741355816,3352.881130023201
mps-uncap,1.0,459.4491303014848,3129.2053216771933,3267.112089873089
mps-uncap,0.5,231.3127195428589,1567.3242816901375,1894.3113582501387
mps-uncap,0.6,284.0970229276335,1858.6783666496885,2249.193651984358
mps-uncap,0.7,338.32141499742585,2146.758732179493,2697.6266557601853
mps-uncap,0.1,45.275654436655024,302.2933805641335,383.7933921963986
mps-uncap,0.2,89.08705592406709,614.1053295685964,753.6160808262545
mps-uncap,0.3,143.93633581880889,949.45977142998,1109.4135337407513
mps-uncap,0.4,191.64329069331882,1239.0974868632268,1528.0081561445038
