mode,load,0_densenet121-8,1_mobilenet_v3_small-16,2_squeezenet1_0-16
mps-uncap,0.8,54.85448837280275,34.98077392578125,55.92374801635742
mps-uncap,0.9,103.39250564575198,125.8235216140747,2178.6746978759766
mps-uncap,1.0,931.8029880523682,244.39618587493888,7864.562797546388
mps-uncap,0.5,28.54409217834473,13.173961639404297,11.399269104003906
mps-uncap,0.6,29.801893234252926,14.856910705566403,14.433288574218752
mps-uncap,0.7,53.11751365661621,20.128369331359863,19.931340217590336
mps-uncap,0.1,28.333568572998043,14.00227546691897,6.523847579956055
mps-uncap,0.2,27.943015098571777,15.5148983001709,7.858037948608402
mps-uncap,0.3,24.089908599853523,13.67933750152588,8.849501609802246
mps-uncap,0.4,26.28402709960938,11.790418624877931,10.652208328247072
