mode,load,0_efficientnet_b5-32,1_mobilenet_v2-2,2_resnet18-2
mps-uncap,0.6,109.91637229919432,44.50730323791499,45.019378662109396
mig,0.6,306.5001964569096,23.980069160461426,11.697378158569336
mps-uncap,0.7,128.86250734329224,120.25640726089449,100.7709288597107
mig,0.7,435.98450183868397,29.914107322692868,16.504931449890133
mps-uncap,0.8,125.19084930419938,1211.5061998367307,1523.4883832931519
mig,0.8,617.9648923873897,49.948596954345696,19.654765129089363
mps-uncap,0.9,193.58371496200562,8826.093697547913,7989.245796203617
mig,0.9,995.4553842544556,99.58363533020021,35.556817054748514
mps-uncap,1.0,172.55031108856204,20864.290380477905,25885.683708190918
mig,1.0,2969.421625137329,1281.3013124465942,119.43543910980225
mps-uncap,1.1,166.33379697799683,28236.818099021915,28233.836731910706
mig,1.1,12599.391527175903,8434.632813930511,5441.219115257262
mps-uncap,1.2,203.2195758819581,35003.736374378204,36471.383147239685
mig,1.2,15530.03921508789,16799.24907207489,12844.038295745848
mps-uncap,1.3,256.07252597808883,41723.96711349487,46140.93110561371
mig,1.3,22983.857798576355,22412.1319103241,18110.60006141663
