mode,load,0_efficientnet_b5-32,1_mobilenet_v2-2,2_resnet18-2
mps-uncap,0.6,38.02223205566406,6.434345245361328,3.960323333740236
mig,0.6,64.12124633789062,4.37467098236084,2.3226261138916016
mps-uncap,0.7,37.91086673736572,6.667089462280272,4.004073143005371
mig,0.7,64.29176330566406,4.307746887207031,2.2988319396972656
mps-uncap,0.8,36.10043525695801,6.981468200683594,4.758119583129888
mig,0.8,64.32275772094727,4.262685775756836,2.2775650024414062
mps-uncap,0.9,37.851858139038086,7.697200775146484,4.283666610717773
mig,0.9,64.23425674438477,4.317522048950195,2.2416114807128906
mps-uncap,1.0,35.97097396850586,8.261442184448242,5.405426025390625
mig,1.0,64.32843208312988,4.227161407470703,2.1712779998779297
mps-uncap,1.1,37.97426223754883,8.808612823486328,5.09586334228516
mig,1.1,64.05525207519531,4.193782806396484,2.1774768829345703
mps-uncap,1.2,37.8847599029541,9.423971176147461,5.684518814086918
mig,1.2,64.0256404876709,4.267454147338867,2.184152603149414
mps-uncap,1.3,35.87822914123535,10.27076244354248,7.184863090515137
mig,1.3,64.09902572631836,4.297590255737305,2.2025108337402344
