mode,load,0_efficientnet_b5-32,1_mobilenet_v2-2,2_resnet18-2
mps-uncap,0.6,0.014781951904296875,0.011682510375976562,0.010728836059570312
mig,0.6,0.015735626220703125,0.011682510375976562,0.011444091796875
mps-uncap,0.7,0.015020370483398438,0.011920928955078125,0.010967254638671875
mig,0.7,0.015020370483398438,0.011682510375976562,0.010967254638671875
mps-uncap,0.8,0.01239776611328125,0.01430511474609375,0.014066696166992188
mig,0.8,0.014781951904296875,0.011205673217773438,0.010967254638671875
mps-uncap,0.9,0.014543533325195312,0.013589859008789062,0.013589859008789062
mig,0.9,0.01430511474609375,0.01239776611328125,0.011205673217773438
mps-uncap,1.0,0.014781951904296875,0.015735626220703125,0.014781951904296875
mig,1.0,0.01811981201171875,0.012159347534179688,0.011444091796875
mps-uncap,1.1,0.015020370483398438,0.014066696166992188,0.014781951904296875
mig,1.1,0.020265579223632812,0.015020370483398438,0.013589859008789062
mps-uncap,1.2,0.014781951904296875,0.014781951904296875,0.015735626220703125
mig,1.2,0.019550323486328125,0.015735626220703125,0.013589859008789062
mps-uncap,1.3,0.014781951904296875,0.017404556274414062,0.014781951904296875
mig,1.3,0.03337860107421875,0.015020370483398438,0.0133514404296875
