mode,load,0_efficientnet_b5-32,1_mobilenet_v2-2,2_resnet18-2
mps-uncap,0.6,303.49971224245763,295.4272712109677,557.2404666204523
mig,0.6,307.23101192716865,296.2377283554482,553.2165299224805
mps-uncap,0.7,344.1397452542129,343.0683159143667,654.6264554994501
mig,0.7,368.0691259081558,340.0780693705652,640.3307023840516
mps-uncap,0.8,412.8107274222589,390.9877743050876,724.9795446707728
mig,0.8,416.0913927930283,395.596686118073,733.6724582823213
mps-uncap,0.9,450.1245306711027,396.87004995435484,743.7928920612276
mig,0.9,442.6804699265689,439.8694726914887,813.4953472659766
mps-uncap,1.0,516.5870431619534,373.40902612632414,666.1753062218108
mig,1.0,500.59962481785703,484.7205602812304,918.712981516723
mps-uncap,1.1,548.8379705289946,373.02455269268194,689.9025908650442
mig,1.1,513.911315600427,487.86949953669523,942.5178987563424
mps-uncap,1.2,613.2042860784132,361.2173872933436,652.9902398382279
mig,1.2,514.9813752096115,479.10272486441784,938.451557556011
mps-uncap,1.3,641.0095681784973,348.55200934439006,587.129897654349
mig,1.3,514.3243172154021,477.36415842500134,934.7915260216132
