mode,load,0_efficientnet_b5-32,1_mobilenet_v2-2,2_resnet18-2
mps-uncap,0.6,37.479400634765625,9.473800659179688,4.366874694824219
mig,0.6,85.31999588012695,5.768299102783203,2.9201507568359375
mps-uncap,0.7,37.81867027282715,17.315030097961426,9.962201118469238
mig,0.7,115.58866500854492,7.159233093261719,3.5823583602905273
mps-uncap,0.8,36.32950782775879,622.0729351043701,996.7812299728394
mig,0.8,160.22276878356934,9.659051895141602,4.4307708740234375
mps-uncap,0.9,39.88015651702881,4642.918586730957,4168.762683868408
mig,0.9,185.97865104675293,18.9511775970459,6.511211395263672
mps-uncap,1.0,40.45820236206055,10460.779905319214,12916.389226913452
mig,1.0,630.8653354644775,596.508264541626,22.496938705444336
mps-uncap,1.1,49.475789070129395,14491.514325141907,14622.852563858032
mig,1.1,6016.351342201233,4363.344669342041,2718.3845043182373
mps-uncap,1.2,59.10634994506836,17962.769746780396,18929.67200279236
mig,1.2,8309.761047363281,8344.340682029724,6462.717056274414
mps-uncap,1.3,53.208112716674805,21790.57514667511,24659.543633461
mig,1.3,12555.47571182251,11283.523559570312,9013.607501983643
