mode,load,0_alexnet-16,1_alexnet-16,2_alexnet-16,3_alexnet-16
mig,0.1,443.59317262793655,419.504529837726,445.5990510148893,252.3370564571188
mig,0.2,911.6433039005809,877.2998650993737,856.0429525048991,492.23770798563135
mig,0.3,1319.704998671232,1298.5259188873417,1249.3641484352088,747.5292099833002
mig,0.4,1751.7568495936932,1763.2309442253197,1702.526574215882,1006.3338572423838
mig,0.5,2211.3237403031,2249.0788000502357,2175.0165885638066,1219.2874549779692
mig,0.6,2666.58900567038,2672.7567159136,2589.592762895123,1524.5091112416446
mig,0.7,3175.3096179867835,3026.705958429862,2981.7656074548486,1727.508114634946
mig,0.8,3564.4827258001383,3465.954031621744,3559.411590046408,2007.7534998463323
mig,0.9,3831.450747362642,3788.860431721202,3737.0201794654376,2233.6900647082016
mig,1.0,3858.1716970347234,3804.562520974399,3759.3752354072626,2323.426567313855
