mode,load,0_alexnet-16,1_alexnet-16,2_alexnet-16,3_alexnet-16
mig,0.1,5.581545829772949,5.765008926391603,5.740714073181152,8.710527420043947
mig,0.2,5.469560623168946,5.594849586486816,5.638456344604492,8.680295944213867
mig,0.3,5.031824111938478,5.022501945495604,5.073690414428711,8.211970329284668
mig,0.4,4.7245025634765625,4.710674285888672,4.715371131896973,7.661890983581543
mig,0.5,4.459238052368164,4.483795166015625,4.515242576599122,7.337832450866697
mig,0.6,4.451513290405273,4.450225830078126,4.472923278808595,7.210206985473633
mig,0.7,4.412937164306641,4.451322555541992,4.458189010620117,7.160091400146484
mig,0.8,4.515385627746582,4.543304443359375,4.560232162475586,7.120513916015625
mig,0.9,4.727983474731445,4.78053092956543,4.820108413696289,7.203888893127441
mig,1.0,4.614353179931641,4.653000831604004,4.678082466125489,7.113027572631836
