mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,0.8702278137207031,19.251585006713867,6.061315536499023
mps-uncap,0.9,2.120375633239746,570.6002712249756,293.75290870666504
mps-uncap,1.0,1145.5986499786377,1636.465072631836,4186.350345611572
mps-uncap,0.5,0.020265579223632812,0.48351287841796875,0.022530555725097656
mps-uncap,0.6,0.1131296157836914,2.4023056030273438,0.5915164947509766
mps-uncap,0.7,0.5471706390380859,4.811525344848633,1.7027854919433594
mps-uncap,0.1,0.027179718017578125,0.02956390380859375,0.027894973754882812
mps-uncap,0.2,0.026702880859375,0.02956390380859375,0.028371810913085938
mps-uncap,0.3,0.026464462280273438,0.029325485229492188,0.027894973754882812
mps-uncap,0.4,0.025510787963867188,0.029087066650390625,0.026941299438476562
