mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,2.1520137786865243,7.331085205078119,4.125189781188964
mps-uncap,0.9,2.1875715255737296,6.647002696990966,3.9513492584228533
mps-uncap,1.0,2.494828701019287,6.052596569061279,4.259328842163086
mps-uncap,0.5,2.638578414916992,8.395171165466307,4.609498977661136
mps-uncap,0.6,2.3017168045043905,8.975675106048584,3.8710784912109375
mps-uncap,0.7,2.319374084472657,8.844411373138431,3.8416528701782204
mps-uncap,0.1,2.1801519393920885,10.469617843627928,4.656405448913575
mps-uncap,0.2,2.1201229095458953,10.141682624816895,5.086071491241459
mps-uncap,0.3,2.518501281738283,9.880435466766352,4.3369340896606445
mps-uncap,0.4,2.355813980102539,8.809924125671387,4.580605030059814
