mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,9.017419815063478,111.15918159484852,73.0580711364745
mps-uncap,0.9,14.937090873718258,862.3446679115292,678.5108566284181
mps-uncap,1.0,2268.3350229263306,3089.278657436371,8387.090864181519
mps-uncap,0.5,4.790663719177246,20.425486564636216,10.808224678039553
mps-uncap,0.6,5.73087453842163,27.539534568786618,12.740197181701658
mps-uncap,0.7,7.796449661254886,45.91513395309452,19.210188388824392
mps-uncap,0.1,3.080410957336419,20.431251525878896,7.9286050796508984
mps-uncap,0.2,3.5524082183837886,25.492033958435094,11.232719421386728
mps-uncap,0.3,4.377906322479249,23.39890480041502,11.851692199707019
mps-uncap,0.4,4.436492919921875,19.816870689392093,10.677659511566159
