mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,1299.1878539370362,5382.657009239809,2572.2766198909885
mps-uncap,0.9,1474.5137581709655,5875.676442793921,2932.0791038100174
mps-uncap,1.0,1570.2725849114977,6441.377123311787,2863.185940808096
mps-uncap,0.5,821.8973580457623,3383.8661732968353,1677.599671160478
mps-uncap,0.6,979.890248299305,4020.909731736403,1965.3387206417397
mps-uncap,0.7,1133.201513552424,4664.5058605447875,2318.5381870606498
mps-uncap,0.1,169.35744934927348,683.984146549077,329.8004510124652
mps-uncap,0.2,330.8542111069195,1342.3037355926488,674.9682156692913
mps-uncap,0.3,500.6758021075202,1976.3869477115497,1000.7665272161919
mps-uncap,0.4,658.2455657461929,2736.1901472258687,1321.0767144919662
