mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,5.015134811401367,65.65189361572266,27.974939346313498
mps-uncap,0.9,8.487462997436523,788.8337850570679,554.8454284667968
mps-uncap,1.0,1946.215796470642,2681.6282272338867,7570.612907409668
mps-uncap,0.5,2.6731491088867188,12.517452239990234,6.1398983001709
mps-uncap,0.6,3.1473636627197266,16.72077178955078,6.969308853149418
mps-uncap,0.7,4.239082336425781,25.284767150878906,10.713577270507812
mps-uncap,0.1,1.9066810607910158,13.79737854003907,5.0602436065673855
mps-uncap,0.2,2.2618293762207045,15.807533264160158,7.168364524841308
mps-uncap,0.3,2.588701248168947,14.789342880249029,7.197093963623047
mps-uncap,0.4,2.597332000732422,11.968374252319341,6.410479545593262
