mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,0.7224082946777344,4.094600677490234,1.7206668853759766
mps-uncap,0.9,0.7379055023193359,4.118442535400391,1.7092227935791016
mps-uncap,1.0,0.751495361328125,4.135370254516602,1.7383098602294922
mps-uncap,0.5,0.7159709930419922,4.094362258911133,1.733541488647461
mps-uncap,0.6,0.7147789001464844,4.087924957275391,1.7275810241699219
mps-uncap,0.7,0.7200241088867188,4.116535186767578,1.7001628875732422
mps-uncap,0.1,0.7836818695068359,4.145622253417969,2.072572708129883
mps-uncap,0.2,0.75531005859375,4.047155380249023,1.7473697662353516
mps-uncap,0.3,0.7228851318359375,4.113912582397461,1.7044544219970703
mps-uncap,0.4,0.7164478302001953,4.065036773681641,1.7352104187011719
