mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,15.946626663208008,139.7380828857422,113.39259147644043
mps-uncap,0.9,24.42789077758789,882.249116897583,707.1115970611572
mps-uncap,1.0,2331.9151401519775,3149.672508239746,8509.40489768982
mps-uncap,0.5,11.140823364257812,26.002168655395508,17.70758628845215
mps-uncap,0.6,8.25190544128418,36.61036491394043,22.78900146484375
mps-uncap,0.7,15.864133834838867,65.52600860595703,27.78458595275879
mps-uncap,0.1,4.3506622314453125,23.714303970336914,8.894920349121094
mps-uncap,0.2,4.970788955688477,25.91681480407715,14.034748077392578
mps-uncap,0.3,6.0558319091796875,34.38401222229004,14.630794525146484
mps-uncap,0.4,8.754491806030273,21.587848663330078,17.452001571655273
