mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,0.7448196411132812,4.127740859985352,1.7502307891845703
mps-uncap,0.9,0.7510185241699219,4.209041595458984,1.7724037170410156
mps-uncap,1.0,0.7755756378173828,4.386186599731445,1.7764568328857422
mps-uncap,0.5,0.736236572265625,4.131793975830078,1.7583370208740234
mps-uncap,0.6,0.7355213165283203,4.130125045776367,1.7523765563964844
mps-uncap,0.7,0.7414817810058594,4.153251647949219,1.7247200012207031
mps-uncap,0.1,0.7951259613037109,4.554271697998047,2.0873546600341797
mps-uncap,0.2,0.77056884765625,4.076242446899414,1.7690658569335938
mps-uncap,0.3,0.7445812225341797,4.148244857788086,1.7299652099609375
mps-uncap,0.4,0.7367134094238281,4.086732864379883,1.7642974853515625
