mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,12.43281364440918,19.652605056762695,12.824296951293945
mps-uncap,0.9,13.891458511352539,17.045021057128906,9.93204116821289
mps-uncap,1.0,14.122724533081055,20.665884017944336,12.91203498840332
mps-uncap,0.5,8.47625732421875,11.524677276611328,7.419586181640625
mps-uncap,0.6,6.189584732055664,15.019655227661133,10.114669799804688
mps-uncap,0.7,10.354280471801758,11.081695556640625,6.625652313232422
mps-uncap,0.1,4.788398742675781,13.805627822875977,8.363962173461914
mps-uncap,0.2,4.222631454467773,12.953042984008789,8.254289627075195
mps-uncap,0.3,4.292488098144531,10.999441146850586,7.411718368530273
mps-uncap,0.4,11.452913284301758,11.568307876586914,8.647918701171875
