mode,load,0_alexnet-2,1_mobilenet_v3_small-32,2_squeezenet1_1-8
mps-uncap,0.8,1.6145706176757812,6.163597106933594,3.506898880004883
mps-uncap,0.9,1.7449140548706066,6.044173240661621,3.441762924194336
mps-uncap,1.0,1.8677711486816406,5.481958389282227,3.693103790283203
mps-uncap,0.5,1.5681982040405273,5.9070587158203125,3.2052993774414062
mps-uncap,0.6,1.6246318817138683,5.8821916580200195,3.1256675720214844
mps-uncap,0.7,1.6778469085693364,6.012153625488282,3.3104419708251953
mps-uncap,0.1,1.5190362930297852,9.944868087768555,4.055523872375489
mps-uncap,0.2,1.48773193359375,9.660077095031738,4.143810272216797
mps-uncap,0.3,1.5259504318237307,8.612251281738281,3.9305686950683594
mps-uncap,0.4,1.5070438385009766,7.308721542358398,3.6138296127319336
