mode,load,0_densenet169-32,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.8,131.5004825592041,250.80204010009766,6.449222564697266
mps-uncap,0.9,611.01233959198,4618.987560272217,10.471701622009277
mps-uncap,1.0,4252.959966659546,4795.082449913025,3583.4949016571045
mps-uncap,0.5,29.46615219116211,26.259899139404297,3.169894218444824
mps-uncap,0.6,40.3437614440918,35.49957275390625,3.7140846252441406
mps-uncap,0.7,50.68469047546387,51.62835121154785,5.4473876953125
mps-uncap,0.1,25.87723731994629,24.021625518798828,3.8633346557617188
mps-uncap,0.2,25.8328914642334,19.847869873046875,3.803253173828125
mps-uncap,0.3,27.955055236816406,20.44832706451416,3.565549850463867
mps-uncap,0.4,29.5255184173584,22.530555725097656,3.237485885620117
