mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,11.098718643188478,31.038522720336914,27.539300918579112
mps-uncap,0.9,25.410985946655273,55.16684055328369,53.65657806396484
mps-uncap,1.0,66.31031036376956,846.9658374786377,105.53832054138186
mps-uncap,0.5,10.058403015136719,13.12251091003418,18.701410293579105
mps-uncap,0.6,9.743881225585938,14.857411384582527,18.939042091369625
mps-uncap,0.7,9.70497131347656,18.99089813232422,22.069883346557617
mps-uncap,0.1,8.178949356079103,8.500885963439941,14.555978775024416
mps-uncap,0.2,10.694050788879395,11.28969192504883,19.703149795532234
mps-uncap,0.3,11.33756637573242,13.118743896484373,20.660996437072757
mps-uncap,0.4,10.40358543395996,13.983345031738281,19.651174545288086
