mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,36.26060485839844,103.83939743041992,69.26536560058594
mps-uncap,0.9,70.41263580322266,137.03060150146484,192.77334213256836
mps-uncap,1.0,158.55956077575684,1026.0603427886963,232.29098320007324
mps-uncap,0.5,26.737213134765625,32.510995864868164,50.368547439575195
mps-uncap,0.6,26.240825653076172,35.88271141052246,57.03234672546387
mps-uncap,0.7,30.824661254882812,61.39779090881348,65.4764175415039
mps-uncap,0.1,17.588138580322266,18.955230712890625,29.419422149658203
mps-uncap,0.2,23.003816604614258,21.329641342163086,42.324066162109375
mps-uncap,0.3,28.72014045715332,26.85070037841797,46.213626861572266
mps-uncap,0.4,29.045820236206055,46.0052490234375,45.81594467163086
