mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,0.008344650268554688,0.0095367431640625,0.010967254638671875
mps-uncap,0.9,0.008106231689453125,0.009298324584960938,0.010013580322265625
mps-uncap,1.0,0.008344650268554688,0.010728836059570312,0.010728836059570312
mps-uncap,0.5,0.008344650268554688,0.010967254638671875,0.011444091796875
mps-uncap,0.6,0.008106231689453125,0.009059906005859375,0.009059906005859375
mps-uncap,0.7,0.008106231689453125,0.0095367431640625,0.010967254638671875
mps-uncap,0.1,0.011682510375976562,0.012159347534179688,0.02574920654296875
mps-uncap,0.2,0.00858306884765625,0.010967254638671875,0.01239776611328125
mps-uncap,0.3,0.010728836059570312,0.010967254638671875,0.010251998901367188
mps-uncap,0.4,0.009298324584960938,0.009298324584960938,0.009775161743164062
