mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,4.148292541503906,6.359100341796875,10.494089126586914
mps-uncap,0.9,4.596710205078125,6.161332130432129,11.051082611083984
mps-uncap,1.0,4.651689529418946,6.457805633544922,10.618948936462402
mps-uncap,0.5,5.044031143188477,6.683969497680664,11.16628646850586
mps-uncap,0.6,4.582023620605469,6.034255027770997,10.412240028381348
mps-uncap,0.7,4.31671142578125,6.050014495849609,10.317230224609377
mps-uncap,0.1,6.383419036865234,7.745027542114259,12.700319290161133
mps-uncap,0.2,6.42702579498291,7.694387435913087,12.770843505859375
mps-uncap,0.3,6.1550140380859375,7.841253280639648,13.246464729309084
mps-uncap,0.4,5.573534965515137,7.745361328125,13.232493400573732
