mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,8.02774429321289,25.157451629638672,19.022035598754897
mps-uncap,0.9,21.850204467773438,49.33154582977295,44.26097869873047
mps-uncap,1.0,62.864732742309585,840.8785343170166,96.12643718719484
mps-uncap,0.5,6.1183929443359375,7.3947429656982475,10.070633888244629
mps-uncap,0.6,6.240367889404298,9.377598762512209,10.623478889465328
mps-uncap,0.7,6.346988677978515,13.42291831970215,14.128398895263675
mps-uncap,0.1,2.5870323181152393,0.9377717971801776,2.5676250457763703
mps-uncap,0.2,5.093574523925781,4.633331298828127,8.737039566040044
mps-uncap,0.3,5.964422225952148,6.222867965698241,9.26904678344727
mps-uncap,0.4,5.786323547363281,7.382941246032719,9.850716590881348
