mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,2.876758575439453,5.827903747558594,8.700370788574219
mps-uncap,0.9,3.3991336822509766,5.930662155151367,9.563684463500977
mps-uncap,1.0,3.4818649291992188,6.244301795959473,9.018182754516602
mps-uncap,0.5,3.818988800048828,5.690097808837891,8.585810661315918
mps-uncap,0.6,3.5300254821777344,5.466103553771973,8.137345314025879
mps-uncap,0.7,2.9077529907226562,5.551338195800781,8.05354118347168
mps-uncap,0.1,5.801916122436523,7.1343183517456055,11.78741455078125
mps-uncap,0.2,5.772829055786133,6.931304931640625,11.719226837158203
mps-uncap,0.3,5.373239517211914,6.970405578613281,11.411070823669434
mps-uncap,0.4,4.165530204772949,6.371259689331055,9.27114486694336
