mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,834.9111258533319,4125.821599410444,148.62858980622175
mps-uncap,0.9,936.2694124538866,4756.384947359397,169.33793467842497
mps-uncap,1.0,1048.676804379231,5164.240428463363,189.79592714294503
mps-uncap,0.5,520.3797040295365,2504.7147856312477,95.56286060446173
mps-uncap,0.6,626.4836012744094,3039.270878151723,114.61786798498574
mps-uncap,0.7,734.0880890193728,3532.8518267180048,132.69327181223508
mps-uncap,0.1,102.76595106159039,532.5621512119435,19.561346150608944
mps-uncap,0.2,218.53712283970907,1033.5214693819394,39.48559122471685
mps-uncap,0.3,315.09094673857726,1575.6653374390326,56.774822676706734
mps-uncap,0.4,430.5689146223836,2051.463484345291,77.90807818762195
