mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-32,2_resnet101-2
mps-uncap,0.8,18.46012115478516,63.790512084961,44.15672302246087
mps-uncap,0.9,44.246015548706,85.11373996734628,84.52081680297853
mps-uncap,1.0,111.22785091400156,957.2921252250673,162.33062267303458
mps-uncap,0.5,12.381114959716784,16.01536750793457,23.634831905364994
mps-uncap,0.6,13.771605491638152,20.53308963775633,26.84788227081293
mps-uncap,0.7,14.439272880554132,26.08140945434569,30.334901809692358
mps-uncap,0.1,6.375660896301254,7.301082611083984,12.091016769409173
mps-uncap,0.2,10.783958435058592,10.318632125854508,20.86193084716795
mps-uncap,0.3,13.883829116821236,14.92477416992189,23.714520931243893
mps-uncap,0.4,13.459186553955092,18.899555206298846,23.051369190216104
