mode,load,0_efficientnet_b6-2,1_mobilenet_v3_large-4,2_vgg16-8
mps-uncap,0.8,224.33710098266602,109.56287384033203,178.15637588500977
mps-uncap,0.9,361.88697814941406,238.5537624359131,737.0040416717529
mps-uncap,1.0,1905.2748680114746,5846.268177032471,4623.576641082764
mps-uncap,0.5,67.59071350097656,27.288198471069336,37.74857521057129
mps-uncap,0.6,94.3288803100586,33.70094299316406,63.359737396240234
mps-uncap,0.7,142.0266628265381,61.534881591796875,89.35165405273438
mps-uncap,0.1,28.722763061523438,21.942853927612305,12.343406677246094
mps-uncap,0.2,35.32910346984863,29.138803482055664,14.039993286132812
mps-uncap,0.3,34.15274620056152,29.137611389160156,19.828081130981445
mps-uncap,0.4,62.235355377197266,28.71537208557129,29.770612716674805
