mode,load,0_efficientnet_b6-2,1_mobilenet_v3_large-4,2_vgg16-8
mps-uncap,0.8,252.2444725036621,117.75660514831543,184.84807014465332
mps-uncap,0.9,389.1170024871826,246.31571769714355,743.7500953674316
mps-uncap,1.0,1934.3512058258057,5853.617429733276,4630.391836166382
mps-uncap,0.5,85.9987735748291,32.14836120605469,44.24738883972168
mps-uncap,0.6,122.8785514831543,42.26970672607422,69.63753700256348
mps-uncap,0.7,159.30557250976562,66.57171249389648,95.56245803833008
mps-uncap,0.1,53.755998611450195,31.84676170349121,20.2486515045166
mps-uncap,0.2,52.893877029418945,36.209821701049805,21.225690841674805
mps-uncap,0.3,51.572561264038086,33.95724296569824,26.791810989379883
mps-uncap,0.4,79.58865165710449,36.86404228210449,36.7588996887207
