mode,load,0_efficientnet_b6-2,1_mobilenet_v3_large-4,2_vgg16-8
mps-uncap,0.8,52.32413265476443,428.81047481739375,1025.1609207399297
mps-uncap,0.9,59.88809516969444,478.1783255916133,1148.8685862710604
mps-uncap,1.0,65.67125879927681,494.01695461586644,1166.1561500883781
mps-uncap,0.5,32.84599459924002,263.021056430563,635.3663977664712
mps-uncap,0.6,39.66268586146857,319.03392877983225,762.606440498899
mps-uncap,0.7,46.90027223139476,375.9228061700345,899.7383488711286
mps-uncap,0.1,5.92164740213195,51.848702138032216,128.3696683087121
mps-uncap,0.2,14.1281105656796,104.93456439338101,247.36675847829312
mps-uncap,0.3,18.56753831175642,160.89995898107597,374.53774196149936
mps-uncap,0.4,26.21398543247945,219.01926152950583,515.8867318475891
