mode,load,0_efficientnet_b6-2,1_mobilenet_v3_large-4,2_vgg16-8
mps-uncap,0.8,26.501178741455078,7.3528289794921875,6.555795669555664
mps-uncap,0.9,29.321789741516113,7.78508186340332,6.804227828979492
mps-uncap,1.0,30.29334545135498,7.910251617431641,6.829261779785156
mps-uncap,0.5,19.933462142944336,6.568551063537598,6.172418594360352
mps-uncap,0.6,20.95019817352295,6.751298904418945,6.280422210693359
mps-uncap,0.7,23.63896369934082,7.191658020019531,6.52003288269043
mps-uncap,0.1,28.950214385986328,11.342048645019531,6.409406661987305
mps-uncap,0.2,20.197272300720215,10.356664657592773,6.285190582275391
mps-uncap,0.3,19.966602325439453,8.573174476623535,6.18290901184082
mps-uncap,0.4,19.854307174682617,6.958961486816406,6.267547607421875
