mode,load,0_densenet161-2,1_efficientnet_b7-32,2_resnet101-2
mps-uncap,0.8,48.5227108001709,65.78803062438965,31.363487243652344
mps-uncap,0.9,44.39711570739746,65.16289710998535,33.297061920166016
mps-uncap,1.0,45.16005516052246,63.83252143859863,33.35428237915039
mps-uncap,0.5,48.20895195007324,63.93766403198242,30.121564865112305
mps-uncap,0.6,50.89688301086426,61.034202575683594,35.21275520324707
mps-uncap,0.7,48.35057258605957,64.03803825378418,30.84254264831543
mps-uncap,0.1,47.69492149353027,84.29384231567383,36.91220283508301
mps-uncap,0.2,46.9512939453125,85.44087409973145,40.56739807128906
mps-uncap,0.3,42.606353759765625,66.47515296936035,31.72922134399414
mps-uncap,0.4,43.31660270690918,63.00020217895508,32.17935562133789
