mode,load,0_resnet50-2,1_squeezenet1_0-16,2_squeezenet1_1-32
mps-uncap,0.8,79.94266510009759,66.22171401977539,106.47790908813398
mps-uncap,0.9,129.74868059158302,2572.221899032593,293.5711860656739
mps-uncap,1.0,2653.2783341407776,3149.2069721221924,9376.638112068174
mps-uncap,0.5,23.608317375183095,17.4732208251952,23.299992084503103
mps-uncap,0.6,26.46713256835935,22.722296714782715,37.383198738098145
mps-uncap,0.7,36.81128025054932,44.22556877136227,48.53250503540041
mps-uncap,0.1,20.81918716430664,10.244607925415034,13.13024520874023
mps-uncap,0.2,26.67654514312748,12.214043140411379,15.60015678405761
mps-uncap,0.3,25.297946929931637,12.970829010009767,16.175217628479
mps-uncap,0.4,25.505361557006832,15.303754806518528,19.231595993041978
