mode,load,0_resnet50-2,1_squeezenet1_0-16,2_squeezenet1_1-32
mps-uncap,0.8,4.636287689208984,3.27301025390625,4.057645797729492
mps-uncap,0.9,4.712343215942383,3.7136077880859375,4.16874885559082
mps-uncap,1.0,5.946159362792969,3.610372543334961,4.048347473144531
mps-uncap,0.5,4.63104248046875,3.2532215118408203,4.019975662231445
mps-uncap,0.6,4.628896713256836,3.245830535888672,4.021644592285156
mps-uncap,0.7,4.6100616455078125,3.243684768676758,4.023551940917969
mps-uncap,0.1,4.63414192199707,3.309011459350586,4.055976867675781
mps-uncap,0.2,5.404472351074219,3.2701492309570312,4.0378570556640625
mps-uncap,0.3,4.613399505615234,3.2601356506347656,4.024744033813477
mps-uncap,0.4,4.583835601806641,3.187894821166992,3.8754940032958984
