mode,load,0_resnet50-2,1_squeezenet1_0-16,2_squeezenet1_1-32
mps-uncap,0.8,8.4228515625,5.6858062744140625,6.942033767700195
mps-uncap,0.9,8.363008499145508,6.423711776733398,6.561517715454102
mps-uncap,1.0,9.6055269241333,6.084442138671875,7.409572601318359
mps-uncap,0.5,6.89387321472168,4.296779632568359,5.404233932495117
mps-uncap,0.6,6.425142288208008,4.484772682189941,5.759477615356445
mps-uncap,0.7,7.038235664367676,5.465149879455566,6.098508834838867
mps-uncap,0.1,10.471582412719727,4.419088363647461,6.388187408447266
mps-uncap,0.2,10.497450828552246,4.324436187744141,6.155490875244141
mps-uncap,0.3,9.65571403503418,4.304409027099609,5.901813507080078
mps-uncap,0.4,8.358478546142578,4.2972564697265625,5.4045915603637695
