mode,load,0_resnet50-2,1_squeezenet1_0-16,2_squeezenet1_1-32
mps-uncap,0.8,164.0732035962619,2336.308147300651,4113.005745588799
mps-uncap,0.9,190.4385672281774,2547.659235325447,4652.777118715552
mps-uncap,1.0,201.47686886415192,2724.290811361631,4318.896851166175
mps-uncap,0.5,105.8667451382769,1441.5539272434905,2497.500146825256
mps-uncap,0.6,121.63833052754065,1756.8468704304278,3030.715441793299
mps-uncap,0.7,147.18699782542453,2058.000411936269,3576.1913216427333
mps-uncap,0.1,20.692838559022587,299.303815911101,509.3840621034593
mps-uncap,0.2,42.30699513664542,569.3949789203696,1024.5728998625975
mps-uncap,0.3,63.6503428383777,883.3943403142483,1521.775625812311
mps-uncap,0.4,82.78950445982404,1190.2811451005261,2015.230453537624
