mode,load,0_vgg19-32,1_resnet34-2,2_squeezenet1_0-8
mps-uncap,1.0,39.13712501525879,36.30495071411133,25.859355926513672
mig,1.0,53.93552780151367,10.85972785949707,12.516021728515625
