mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,3.8847970962524414,2.569527626037597,3.2007694244384766
mps-uncap,0.9,3.912687301635742,2.54500389099121,3.2191276550292987
mps-uncap,1.0,3.3747625350952144,2.7637100219726554,3.270387649536133
mps-uncap,0.5,5.37252426147461,2.984762191772461,3.061356544494629
mps-uncap,0.6,4.239559173583984,2.760946750640869,3.1180262565612797
mps-uncap,0.7,3.9612865447998056,2.708303928375244,3.1382346153259277
mps-uncap,0.1,7.026386260986328,3.163170814514161,3.145871162414551
mps-uncap,0.2,6.7562007904052725,2.992653846740722,3.1518816947937
mps-uncap,0.3,6.474797725677493,3.3134269714355495,3.1086325645446777
mps-uncap,0.4,6.204652786254882,3.0540847778320312,3.0309319496154785
