mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,3.103971481323242,1.5687942504882812,2.705812454223633
mps-uncap,0.9,3.255128860473633,1.6798973083496094,2.802610397338867
mps-uncap,1.0,3.065824508666992,2.007722854614258,2.8715133666992188
mps-uncap,0.5,3.0324459075927734,2.305269241333008,2.5300979614257812
mps-uncap,0.6,2.7964115142822266,1.8665790557861328,2.483844757080078
mps-uncap,0.7,2.8409957885742188,1.6980171203613281,2.4988651275634766
mps-uncap,0.1,6.012916564941406,2.644062042236328,2.6204586029052734
mps-uncap,0.2,5.822658538818359,2.532482147216797,2.6171207427978516
mps-uncap,0.3,4.701495170593262,2.5544166564941406,2.6787519454956055
mps-uncap,0.4,3.983020782470703,2.5446414947509766,2.5904178619384766
