mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,32.529635429382324,9.180245399475083,18.294477462768548
mps-uncap,0.9,65.43068408966066,14.770793914794915,29.01682853698734
mps-uncap,1.0,170.91997146606442,70.20555496215819,67.18394994735719
mps-uncap,0.5,14.181995391845714,9.902405738830563,9.72113609313965
mps-uncap,0.6,14.656686782836912,9.62001085281372,10.863087177276613
mps-uncap,0.7,17.247552871704112,9.30918455123902,13.432607650756822
mps-uncap,0.1,15.015869140624995,5.2389621734619185,4.92128849029541
mps-uncap,0.2,18.578596115112298,6.326789855957031,5.675768852233876
mps-uncap,0.3,18.786263465881362,8.504829406738283,6.89760446548462
mps-uncap,0.4,16.39281272888183,9.749279022216799,7.7977180480957
