mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,29.292640686035156,7.410724163055418,15.576968193054135
mps-uncap,0.9,62.113738059997566,12.849025726318333,26.33552551269537
mps-uncap,1.0,167.83467769622797,68.10706615447994,64.30897951126101
mps-uncap,0.5,10.867071151733413,7.702326774597155,7.129092216491703
mps-uncap,0.6,11.662940979003906,7.63392448425293,8.22906732559206
mps-uncap,0.7,14.385623931884778,7.531118392944344,10.972242355346662
mps-uncap,0.1,9.383745193481436,2.6337385177612305,2.4815893173217773
mps-uncap,0.2,13.72222900390625,3.7723255157470668,3.103220462799071
mps-uncap,0.3,14.070615768432624,6.0697650909423855,4.363727569580083
mps-uncap,0.4,12.366647720336912,7.349767684936532,5.354976654052733
