mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,2.3839473724365234,1.0077953338623047,2.0401477813720703
mps-uncap,0.9,2.401590347290039,0.9698867797851562,2.039194107055664
mps-uncap,1.0,2.3572444915771484,0.9787082672119141,2.0432472229003906
mps-uncap,0.5,2.437114715576172,1.009225845336914,2.038717269897461
mps-uncap,0.6,2.3794174194335938,0.9760856628417969,2.036571502685547
mps-uncap,0.7,2.3720264434814453,0.9946823120117188,2.0461082458496094
mps-uncap,0.1,2.3899078369140625,1.0313987731933594,2.0542144775390625
mps-uncap,0.2,2.385854721069336,0.9858608245849609,2.048969268798828
mps-uncap,0.3,2.386331558227539,0.9915828704833984,2.054929733276367
mps-uncap,0.4,2.4318695068359375,0.9922981262207031,2.0546913146972656
