mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,3.2508373260498047,0.5776882171630859,1.8641948699951172
mps-uncap,0.9,10.486602783203125,1.2688636779785156,3.609895706176758
mps-uncap,1.0,32.41276741027832,8.010625839233398,14.145731925964355
mps-uncap,0.5,0.293731689453125,0.14019012451171875,0.04291534423828125
mps-uncap,0.6,0.7965564727783203,0.40733814239501953,0.05543231964111328
mps-uncap,0.7,1.354217529296875,0.37682056427001953,0.6521940231323242
mps-uncap,0.1,0.049114227294921875,0.04482269287109375,0.046253204345703125
mps-uncap,0.2,0.047206878662109375,0.044345855712890625,0.045299530029296875
mps-uncap,0.3,0.04649162292480469,0.0457763671875,0.04601478576660156
mps-uncap,0.4,0.048160552978515625,0.046253204345703125,0.04553794860839844
