mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,6.308794021606445,2.2617578506469727,4.506587982177734
mps-uncap,0.9,13.666868209838867,2.9926300048828125,6.364583969116211
mps-uncap,1.0,35.44020652770996,10.014772415161133,17.025232315063477
mps-uncap,0.5,4.225015640258789,2.7141571044921875,2.8145313262939453
mps-uncap,0.6,3.841876983642578,2.562880516052246,2.908468246459961
mps-uncap,0.7,4.14276123046875,2.306342124938965,3.1958818435668945
mps-uncap,0.1,6.206750869750977,2.7310848236083984,2.6977062225341797
mps-uncap,0.2,6.18290901184082,2.66265869140625,2.715587615966797
mps-uncap,0.3,5.9729814529418945,2.8128623962402344,2.845287322998047
mps-uncap,0.4,4.923582077026367,2.882719039916992,2.849578857421875
