mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,4152.548285406547,735.171954246617,4156.052238257632
mps-uncap,0.9,4531.636692367415,843.819460805156,4710.121421715221
mps-uncap,1.0,5130.719038448407,907.0743278215987,5116.915982019799
mps-uncap,0.5,2548.769613929539,461.7924174556277,2597.938826510105
mps-uncap,0.6,3157.0948880163965,547.8078932882833,3153.364004860998
mps-uncap,0.7,3539.0015889309593,644.7107565631989,3596.281278720883
mps-uncap,0.1,523.2810699847842,92.27340201536914,532.6808752448667
mps-uncap,0.2,1031.570193871332,188.3483802483671,1036.285985437868
mps-uncap,0.3,1508.9472527290784,277.1785294404948,1545.0108757641246
mps-uncap,0.4,2028.7635279221922,372.8002161373398,2071.446187422104
