mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,4.725217819213867,3.131389617919922,4.228353500366211
mps-uncap,0.9,4.660129547119141,3.055572509765625,4.132509231567383
mps-uncap,1.0,4.488468170166016,3.6962032318115234,4.342079162597656
mps-uncap,0.5,6.6280364990234375,3.538846969604492,3.446817398071289
mps-uncap,0.6,6.138324737548828,3.1516551971435547,3.299236297607422
mps-uncap,0.7,5.459785461425781,3.0400753021240234,3.8857460021972656
mps-uncap,0.1,7.305145263671875,3.789186477661133,3.573894500732422
mps-uncap,0.2,7.661342620849609,3.4813880920410156,4.295587539672852
mps-uncap,0.3,9.054422378540039,4.627704620361328,3.670930862426758
mps-uncap,0.4,7.072210311889648,3.4775733947753906,3.4475326538085938
