mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-2,2_squeezenet1_1-16
mps-uncap,0.8,3.452634811401367,2.1807909011840825,2.911806106567383
mps-uncap,0.9,3.5147190093994145,2.2439956665039062,2.933979034423828
mps-uncap,1.0,3.232240676879883,2.498626708984375,3.1337738037109375
mps-uncap,0.5,4.230499267578125,2.6710033416748047,2.8333663940429688
mps-uncap,0.6,3.3393383026123056,2.471923828125,2.847170829772949
mps-uncap,0.7,3.1873226165771484,2.3061037063598633,2.886056900024414
mps-uncap,0.1,6.628608703613281,2.946615219116211,2.924776077270508
mps-uncap,0.2,6.264734268188477,2.7862071990966797,2.852916717529297
mps-uncap,0.3,6.094598770141602,2.8497695922851562,2.947211265563965
mps-uncap,0.4,5.131340026855469,2.858877182006836,2.871274948120117
