mode,load,0_alexnet-4,1_densenet169-4,2_squeezenet1_1-2
mps-uncap,1.0,1.0471343994140625,17.23790168762207,1.8889904022216797
mig,1.0,1.3480186462402344,17.465901374816895,1.7337799072265625
