mode,load,0_resnet18-4,1_squeezenet1_0-8,2_vgg16-32
mps-uncap,0.8,228.74008924187714,464.258367497749,1265.1594159094368
mps-uncap,0.9,258.5795316018243,526.589298517362,1364.724009037981
mps-uncap,1.0,283.84469601647214,573.7060268820268,1372.3450104386734
mps-uncap,0.5,142.15480054964516,280.5507460390131,768.7392690150759
mps-uncap,0.6,173.2706595991239,337.0847550347028,909.5693620869404
mps-uncap,0.7,201.80471488697867,405.7712096451024,1103.7058681422807
mps-uncap,0.1,27.93975087691892,59.37150719531452,159.8032615333245
mps-uncap,0.2,52.51930484609049,119.21519636292182,296.9707916231351
mps-uncap,0.3,84.18491158090443,170.67085788112323,468.1632975276302
mps-uncap,0.4,115.9027241436741,224.97711206501594,644.4066297630961
