mode,load,0_efficientnet_b5-32,1_squeezenet1_0-16,2_vgg11-32
mps-uncap,0.8,221.94291945359262,646.3206523863599,1718.867907272582
mps-uncap,0.9,230.47282745287055,713.4517912586725,1961.4703367134787
mps-uncap,1.0,259.70190574200706,768.8337117509479,1946.3867135354524
mps-uncap,0.5,148.8107497346374,392.34783792358377,1049.3484248208008
mps-uncap,0.6,171.0301456726524,476.5185606856329,1293.8499996222768
mps-uncap,0.7,203.81382936323823,587.5604435582433,1534.39269524453
mps-uncap,0.1,26.35383007999142,74.5578439569037,219.82036342545334
mps-uncap,0.2,50.36435186552724,149.68596319438655,441.3116340174711
mps-uncap,0.3,78.87698048072112,223.5168096464219,663.6634723089119
mps-uncap,0.4,105.4613718750779,324.16875822368974,866.7888353241751
