mode,load,0_alexnet-4,1_squeezenet1_1-32,2_vgg13-32
mps-uncap,0.8,11.614084243774414,18.61405372619629,18.467330932617188
mps-uncap,0.9,12.766075134277342,18.985986709594727,18.6553955078125
mps-uncap,1.0,13.78018856048584,18.78502368927002,18.80669593811035
mps-uncap,0.5,8.936095237731937,17.099618911743164,17.358016967773438
mps-uncap,0.6,9.490084648132324,17.59018898010254,17.729711532592773
mps-uncap,0.7,10.400938987731937,18.1063175201416,18.099331855773926
mps-uncap,0.1,1.4674663543701174,3.8163900375366215,14.92013931274414
mps-uncap,0.2,3.223800659179688,9.887266159057626,16.335391998291016
mps-uncap,0.3,6.482124328613281,14.0131950378418,16.58639907836914
mps-uncap,0.4,7.926630973815921,15.79627990722656,16.976451873779297
