mode,load,0_alexnet-4,1_squeezenet1_1-32,2_vgg13-32
mps-uncap,0.8,496.8381750673317,1343.9698420851141,1378.5576926924966
mps-uncap,0.9,575.7644681010976,1535.1798308006598,1519.2518792411252
mps-uncap,1.0,632.8286943038722,1726.2407205417865,1724.6289088243323
mps-uncap,0.5,311.9093754288137,817.1287892752159,879.4195404608596
mps-uncap,0.6,372.82525432858455,1008.2283034906769,999.802331626023
mps-uncap,0.7,430.467213301027,1199.8763329881258,1198.9986912729219
mps-uncap,0.1,59.518190695154956,173.70085756350596,168.79428812352322
mps-uncap,0.2,121.18382346732004,339.5462063644233,345.44560088666543
mps-uncap,0.3,193.3694182542225,505.6622937634611,499.48108507488405
mps-uncap,0.4,249.88893545041037,690.1460102442039,707.1705980814058
