mode,load,0_alexnet-4,1_squeezenet1_1-32,2_vgg13-32
mps-uncap,0.8,71.47955894470215,121.02890014648438,200.01769065856934
mps-uncap,0.9,158.02717208862305,308.1638813018799,285.7851982116699
mps-uncap,1.0,973.2890129089355,1402.312994003296,1343.9528942108154
mps-uncap,0.5,19.333362579345703,60.036659240722656,67.37089157104492
mps-uncap,0.6,28.145313262939453,63.69948387145996,118.88790130615234
mps-uncap,0.7,31.462669372558594,103.10196876525879,99.8380184173584
mps-uncap,0.1,6.440639495849609,3.732442855834961,20.821094512939453
mps-uncap,0.2,9.73057746887207,20.220518112182617,23.652076721191406
mps-uncap,0.3,17.534494400024414,24.139881134033203,33.692359924316406
mps-uncap,0.4,19.193410873413086,27.38809585571289,59.16595458984375
