mode,load,0_alexnet-4,1_squeezenet1_1-32,2_vgg13-32
mps-uncap,0.8,21.17776870727539,48.85458946228027,86.61456108093262
mps-uncap,0.9,30.987548828124993,113.96074295043945,149.10054206848147
mps-uncap,1.0,741.6073799133302,1213.742184638977,1119.254446029663
mps-uncap,0.5,10.428357124328617,18.27421188354492,37.96768188476564
mps-uncap,0.6,11.192774772644045,23.375439643859863,44.757771492004395
mps-uncap,0.7,13.141155242919927,32.442045211792006,57.87513256072998
mps-uncap,0.1,1.5601158142089844,3.977370262145996,16.525602340698242
mps-uncap,0.2,4.498052597045904,10.624623298645023,21.51591777801514
mps-uncap,0.3,7.573604583740234,15.008592605590824,26.625347137451172
mps-uncap,0.4,9.347677230834961,16.42065048217773,28.9588451385498
