mode,load,0_resnet101-32,1_squeezenet1_0-2,2_vgg16-2
mps-uncap,0.6,479.72182291185305,665.2022558929308,171.1442906793508
mig,0.6,457.90915151962395,661.0424286507047,173.83384123548495
mps-uncap,0.7,533.2271657952882,763.8572532799709,200.4271064871709
mig,0.7,545.5588779147027,768.4196668438883,204.1823789461972
mps-uncap,0.8,597.3296548572134,756.7259683748025,230.15924792910818
mig,0.8,616.1957545468085,881.5596723557276,229.00860394530042
mps-uncap,0.9,699.2029199620706,681.9095420355741,259.5792178347928
mig,0.9,674.6471958632686,965.4518772225931,262.42926476419814
mps-uncap,1.0,750.8264804488098,626.3257218446942,290.3680026543603
mig,1.0,762.559201334738,1090.9966200439658,289.18001566149866
mps-uncap,1.1,842.5743159574944,553.4878044369549,313.47942929862205
mig,1.1,772.4525754864327,1123.0872341495074,290.9713322989913
mps-uncap,1.2,953.1962829815051,452.01549192376035,343.90840609888465
mig,1.2,773.2495584613616,1108.3808908166004,291.5986900765639
mps-uncap,1.3,1030.40045863329,384.50408445114306,359.27361890656
mig,1.3,774.3651657589415,1104.3822432095399,291.89070108137366
