mode,load,0_efficientnet_b5-16,1_densenet201-16,2_efficientnet_b5-2
mps-uncap,1.0,24.809837341308594,41.62859916687012,24.696826934814453
mig,1.0,31.824111938476562,45.39632797241211,14.999151229858398
