mode,load,0_densenet169-4,1_mobilenet_v2-8,2_resnet18-4
mps-uncap,0.8,217.39724740901488,2226.8198179678957,1491.3383178436816
mps-uncap,0.9,254.3162156501127,2529.650530379568,1634.0434196791948
mps-uncap,1.0,279.82282089028485,2878.299880175397,1877.31798787477
mps-uncap,0.5,131.6079081131414,1447.227529215524,923.3942924001512
mps-uncap,0.6,159.74205487687743,1709.1041064517049,1129.9313232371242
mps-uncap,0.7,189.72390102683121,1932.9923465791833,1321.315520677004
mps-uncap,0.1,26.505490857499442,290.20824321216014,182.39987286062228
mps-uncap,0.2,55.56417688613402,570.2770406601006,375.05159567107813
mps-uncap,0.3,81.72877650133498,858.0484945291008,571.316682341916
mps-uncap,0.4,111.72327162926308,1166.948982180805,754.1916207775032
