mode,load,0_densenet169-4,1_mobilenet_v2-8,2_resnet18-4
mps-uncap,0.8,9.873390197753906,2.214193344116211,1.1448860168457031
mps-uncap,0.9,9.67717170715332,2.2246837615966797,1.1293888092041016
mps-uncap,1.0,10.020971298217773,2.250194549560547,1.1322498321533203
mps-uncap,0.5,9.647607803344727,2.2399425506591797,1.132965087890625
mps-uncap,0.6,9.715080261230469,2.2346973419189453,1.1363029479980469
mps-uncap,0.7,9.65738296508789,2.208232879638672,1.1451244354248047
mps-uncap,0.1,9.670495986938477,2.1982192993164062,1.150369644165039
mps-uncap,0.2,10.086536407470703,2.2318363189697266,1.1501312255859375
mps-uncap,0.3,9.938240051269531,2.228260040283203,1.1394023895263672
mps-uncap,0.4,9.915351867675781,2.197742462158203,1.1513233184814453
